"count_american_indian","count_asian_non_hispanic","count_black_non_hispanic","count_citizen_status_total","count_citizen_status_unknown","count_ethnicity_total","count_ethnicity_unknown","count_female","count_gender_total","count_gender_unknown","count_hispanic_latino","count_male","count_nreceives_public_assistance","count_other_citizen_status","count_other_ethnicity","count_pacific_islander","count_participants","count_permanent_resident_alien","count_public_assistance_total","count_public_assistance_unknown","count_receives_public_assistance","count_us_citizen","count_white_non_hispanic","jurisdiction_name","percent_american_indian","percent_asian_non_hispanic","percent_black_non_hispanic","percent_citizen_status_total","percent_citizen_status_unknown","percent_ethnicity_total","percent_ethnicity_unknown","percent_female","percent_gender_total","percent_gender_unknown","percent_hispanic_latino","percent_male","percent_nreceives_public_assistance","percent_other_citizen_status","percent_other_ethnicity","percent_pacific_islander","percent_permanent_resident_alien","percent_public_assistance_total","percent_public_assistance_unknown","percent_receives_public_assistance","percent_us_citizen","percent_white_non_hispanic"
"0","0","0","11","0","11","0","0","11","0","0","11","3","0","0","0","11","0","11","0","8","11","11","12759","0","0","0","100","0","100","0","0","100","0","0","1","0.27","0","0","0","0","100","0","0.73","1","1"
"0","0","0","11","0","11","0","11","11","0","0","0","3","0","0","0","11","0","11","0","8","11","11","12763","0","0","0","100","0","100","0","1","100","0","0","0","0.27","0","0","0","0","100","0","0.73","1","1"
"0","0","0","64","0","64","0","61","64","0","0","3","59","0","2","0","64","0","64","0","5","64","62","12764","0","0","0","100","0","100","0","0.95","100","0","0","0.05","0.92","0","0.03","0","0","100","0","0.08","1","0.97"
"0","0","0","63","0","63","1","1","63","0","0","62","40","0","1","0","63","0","63","0","23","63","61","12768","0","0","0","100","0","100","0.02","0.02","100","0","0","0.98","0.63","0","0.02","0","0","100","0","0.37","1","0.97"
"0","0","0","242","0","242","0","183","242","0","0","59","87","0","3","0","242","1","242","0","155","241","239","12779","0","0","0","100","0","100","0","0.76","100","0","0","0.24","0.36","0","0.01","0","0","100","0","0.64","1","0.99"
"2","0","0","201","0","201","1","66","201","0","0","135","124","0","3","0","201","4","201","0","77","197","195","12783","0.01","0","0","100","0","99","0","0.33","100","0","0","0.67","0.62","0","0.01","0","0.02","100","0","0.38","0.98","0.97"
"0","0","0","4","0","4","0","3","4","0","0","1","3","0","0","0","4","0","4","0","1","4","4","12786","0","0","0","100","0","100","0","0.75","100","0","0","0.25","0.75","0","0","0","0","100","0","0.25","1","1"
"0","0","0","83","0","83","0","39","83","0","0","44","48","0","2","0","83","0","83","0","35","83","81","12788","0","0","0","100","0","100","0","0.47","100","0","0","0.53","0.58","0","0.02","0","0","100","0","0.42","1","0.98"
"0","0","0","272","0","272","4","115","272","0","0","157","202","0","6","0","272","1","272","0","70","271","262","12789","0","0","0","100","0","99","0.01","0.42","100","0","0","0.58","0.74","0","0.02","0","0","100","0","0.26","1","0.96"
"0","0","0","17","0","17","0","2","17","0","0","15","10","0","2","0","17","0","17","0","7","17","15","13731","0","0","0","100","0","100","0","0.12","100","0","0","0.88","0.59","0","0.12","0","0","100","0","0.41","1","0.88"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20459","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
